Type,TransectOrder,Boats,response,SE,df,lower.CL,upper.CL,Boats_level
Dived,A,0,201.93784927473666,35.60374385799462,Inf,142.9361362118339,285.2945101948972,Low
Undived,A,0,127.71498969981096,18.342717373465646,Inf,96.38076532635161,169.23624271702244,Low
Dived,B,0,168.69854340634092,29.75230375379638,Inf,119.39613178967247,238.35946877705095,Low
Undived,B,0,119.59856169523879,17.17246197033795,Inf,90.26240007748576,158.46926236495733,Low
Dived,A,1,201.23961643903655,33.89919330571051,Inf,144.6528430999514,279.96258045580134,Median
Undived,A,1,127.27339442809848,18.264486844671804,Inf,96.06941760009805,168.61262755520025,Median
Dived,B,1,168.11524085674887,28.328465891491742,Inf,120.82987379023527,233.90518686949676,Median
Undived,B,1,119.18503028853102,17.099243563174028,Inf,89.97078047901151,157.8853864471236,Median
Dived,A,13,193.04676723336726,33.21745653174033,Inf,137.7833462050598,270.47575317114286,High
Undived,A,13,122.09185141537381,28.35497225104293,Inf,77.44637923855588,192.47407469002385,High
Dived,B,13,161.2709482572777,27.755614119270817,Inf,115.09585634845352,225.97093915406623,High
Undived,B,13,114.33278003082457,26.550508564513986,Inf,72.52765262148891,180.23449149523245,High
