Species,zero_prop
Surgeonfish,0.9939024390243902
Eel,0.9786585365853658
Barracuda,0.975609756097561
Ray,0.975609756097561
Batfish,0.9634146341463414
lrg_Snapper,0.9542682926829268
Porcupine.Puffer,0.948170731707317
Sweetlips,0.8871951219512195
Triggerfish,0.8079268292682927
sml_Snapper,0.7682926829268293
Trevally,0.7621951219512195
Angelfish,0.7469512195121951
Emperorfish,0.7073170731707317
Squirrel.Soldier,0.6707317073170732
Slingjaw,0.4268292682926829
lrg_Grouper,0.4268292682926829
Thicklip,0.24390243902439024
Cleaner_Wrasse,0.20426829268292682
Red_Breast,0.06707317073170732
Rabbitfish,0.057926829268292686
sml_Grouper,0.04878048780487805
Butterflyfish,0.027439024390243903
Parrotfish,0.024390243902439025
