Type,survey_pair,A,B,delta_B_minus_A
Undived,NSN012_4_DEEP_2025-08-22,0,0,0
Undived,NSN012_6_DEEP_2025-08-28,4,6,2
Undived,NSN012_2_DEEP_2025-08-18,10,6,-4
Dived,TT2510_2_DEEP_2025-10-13,63,20,-43
Undived,GV003_4_DEEP_2025-08-19,27,41,14
Undived,SNY001_5_SHALLOW_2025-08-27,47,35,-12
Undived,HWN005_6_DEEP_2025-08-25,69,52,-17
Dived,TB2510_2_SHALLOW_2025-09-30,85,57,-28
Undived,SNY001_4_DEEP_2025-08-20,61,79,18
Dived,AM2508_3_DEEP_2025-08-13,117,66,-51
Undived,BDR010_4_DEEP_2025-08-19,112,69,-43
Dived,TB2510_2_SHALLOW_NA,78,70,-8
Undived,GV003_4_DEEP_2025-08-22,70,86,16
Undived,LH004_5_SHALLOW_2025-08-27,70,88,18
Undived,HWN005_4_DEEP_2025-08-21,77,73,-4
Dived,HW2510_6_DEEP_2025-10-22,83,74,-9
Dived,LB2510_4_DEEP_2025-10-02,74,86,12
Undived,NSN012_3_SHALLOW_2025-08-22,75,82,7
Undived,SNY001_6_DEEP_2025-08-27,86,76,-10
Undived,SNY001_2_DEEP_2025-08-18,97,81,-16
Undived,LH004_1_SHALLOW_2025-08-13,93,99,6
Dived,JA2508_4_DEEP_2025-08-11,129,95,-34
Dived,LB2510_1_SHALLOW_2025-10-02,160,96,-64
Undived,HWN005_2_DEEP_2025-08-12,295,96,-199
Dived,LB2510_6_SHALLOW_2025-10-09,139,98,-41
Undived,LTS007_2_DEEP_2025-08-12,107,98,-9
Dived,TB2510_3_DEEP_2025-09-30,116,100,-16
Dived,HW2510_3_DEEP_2025-10-22,145,104,-41
Dived,LB2510_3_SHALLOW_2025-10-02,151,109,-42
Dived,JA2508_2_SHALLOW_2025-08-11,144,111,-33
Dived,JA2508_1_SHALLOW_2025-08-11,179,113,-66
Undived,LH004_4_DEEP_2025-08-20,156,114,-42
Dived,HW2510_1_SHALLOW_2025-10-09,116,125,9
Dived,LB2510_5_DEEP_2025-10-09,134,117,-17
Undived,GV003_2_DEEP_2025-08-13,119,205,86
Undived,BDR010_3_SHALLOW_2025-08-19,171,123,-48
Dived,TT2510_1_SHALLOW_2025-10-13,124,153,29
Dived,LB2510_4_SHALLOW_2025-10-20,138,127,-11
Undived,SNY001_1_SHALLOW_2025-08-18,230,128,-102
Undived,GV003_1_SHALLOW_2025-08-13,139,129,-10
Dived,LB2510_5_DEEP_2025-10-20,144,134,-10
Undived,SNY001_3_SHALLOW_2025-08-20,137,159,22
Undived,GV003_3_SHALLOW_2025-08-22,139,159,20
Undived,GV003_3_SHALLOW_2025-08-19,141,228,87
Dived,HW2510_5_SHALLOW_2025-10-22,163,142,-21
Dived,HW2510_2_DEEP_2025-10-09,166,146,-20
Undived,NSN012_5_SHALLOW_2025-08-28,170,148,-22
Undived,LKS008_3_SHALLOW_2025-08-21,149,162,13
Undived,LH004_6_DEEP_2025-08-27,160,154,-6
Dived,HW2510_4_SHALLOW_2025-10-22,177,155,-22
Undived,NSN012_1_SHALLOW_2025-08-18,199,155,-44
Dived,TB2508_1_DEEP_2025-08-06,223,157,-66
Dived,AL2508_1_DEEP_2025-08-04,308,163,-145
Dived,AM2508_2_SHALLOW_2025-08-13,187,165,-22
Undived,BDR010_6_DEEP_2025-08-28,166,188,22
Dived,MA2508_1_DEEP_2025-08-05,170,187,17
Undived,LTS007_1_SHALLOW_2025-08-12,172,188,16
Undived,HWN005_5_SHALLOW_2025-08-25,178,175,-3
Undived,LH004_2_DEEP_2025-08-13,177,199,22
Undived,LKS008_6_DEEP_2025-08-25,225,179,-46
Dived,AL2510_5_SHALLOW_2025-10-22,194,180,-14
Dived,JA2510_1_SHALLOW_2025-10-21,182,184,2
Dived,AL2508_2_DEEP_2025-08-04,199,185,-14
Undived,LKS008_4_DEEP_2025-08-21,235,186,-49
Dived,MB2510_4_SHALLOW_2025-10-02,201,187,-14
Dived,JA2508_3_DEEP_2025-08-11,259,190,-69
Dived,MB2510_2_SHALLOW_2025-10-02,328,190,-138
Undived,LKS008_2_DEEP_2025-08-14,198,240,42
Undived,BDR010_5_SHALLOW_2025-08-28,200,236,36
Dived,LB2510_2_DEEP_2025-10-02,215,203,-12
Dived,AL2508_3_SHALLOW_2025-08-04,249,211,-38
Undived,HWN005_1_SHALLOW_2025-08-12,219,213,-6
Undived,LKS008_1_SHALLOW_2025-08-14,226,245,19
Undived,LKS008_5_SHALLOW_2025-08-25,226,244,18
Dived,MB2510_3_DEEP_2025-10-02,235,277,42
Dived,AL2510_6_DEEP_2025-10-22,290,237,-53
Dived,MB2510_5_SHALLOW_2025-10-21,241,242,1
Undived,HWN005_3_SHALLOW_2025-08-21,243,248,5
Dived,TT2510_6_DEEP_2025-10-15,336,258,-78
Undived,BDR010_2_DEEP_2025-08-14,413,275,-138
Undived,BDR010_1_SHALLOW_2025-08-14,294,282,-12
Dived,JA2510_2_DEEP_2025-10-21,316,322,6
Dived,AL2508_4_SHALLOW_2025-08-07,373,331,-42
Dived,MB2510_6_DEEP_2025-10-21,459,365,-94
Undived,LH004_3_SHALLOW_2025-08-20,384,895,511
Dived,SI2508_1_DEEP_2025-08-07,504,558,54
Dived,TT2510_4_DEEP_2025-10-14,670,580,-90
Dived,TT2510_3_SHALLOW_2025-10-14,651,665,14
Dived,TT2510_5_SHALLOW_2025-10-15,821,726,-95
