Species,final_model,AIC,interaction_est,interaction_SE,interaction_z,interaction_p,p_adj_fdr,p_adj_bonf
lrg_Snapper,m_nb,107.09693359710855,-1.0986167993251053,0.8897572125123956,-1.234737728310126,0.21692812967025854,0.4880882917580817,1
Porcupine.Puffer,m_nb_boats_zi,110.09526488194615,0.5108328428184172,1.2823595102607488,0.3983538459620789,0.6903693742549069,0.8282751395822971,1
Sweetlips,m_nb,231.16975689956638,0.9932458790691544,0.5290501039183261,1.8774136357082922,0.06046142405382689,0.2176611265937768,1
Triggerfish,m_nb_boats,297.93870103202124,-0.31977041187541927,0.45030720090749266,-0.7101161412275755,0.4776321175853066,0.7098370781770053,1
Angelfish,m_nb_zi,384.11376285764965,1.1734678017644715,0.480102550387127,2.444202391381289,0.014517279971110322,0.1306555197399929,0.2613110394799858
Trevally,m_nb_zi,418.4953035957296,0.7470594131495925,0.5062020299020746,1.4758127566065113,0.13999416523229977,0.41998249569689927,1
Emperorfish,m_nb_boats,445.37901512419404,-0.23492787729913922,0.3588321737303833,-0.6547012628685231,0.512660112016726,0.7098370781770053,1
sml_Snapper,m_nb_boats_zi,604.5621606463849,0.002834202425332604,0.3556815589214943,0.007968370454533929,0.9936422275206915,0.9948096784691026,1
Squirrel.Soldier,m_nb_zi,675.8711033170616,-0.17466382732117255,0.2942877549194159,-0.5935137442908569,0.5528373875472354,0.7107909268464456,1
lrg_Grouper,m_nb,739.8206507631303,-0.07078263309610003,0.21014309021536215,-0.3368306472678186,0.7362445685175975,0.8282751395822971,1
Slingjaw,m_nb,760.5852831267309,-0.0014935475656652126,0.22959466609629767,-0.006505149231292603,0.9948096784691026,0.9948096784691026,1
Thicklip,m_nb,789.7974215973993,0.37260480349218433,0.174857774596238,2.130902125184663,0.033097206279784706,0.14893742825903117,0.5957497130361247
Cleaner_Wrasse,m_nb,976.5771277176727,-0.2019866604537637,0.15573790413443378,-1.2969653185996888,0.1946431200667071,0.4880882917580817,1
Red_Breast,m_nb,1028.283333706904,0.34835497603050597,0.12442259290665711,2.7997726770719593,0.00511386053363161,0.09204948960536898,0.09204948960536898
sml_Grouper,m_nb,1309.365361057818,0.05230735234082941,0.06907905598109472,0.7572100052314652,0.4489240569530859,0.7098370781770053,1
Butterflyfish,m_nb_zi,1382.8908052360862,0.07942295302294398,0.07340283630357006,1.0820147697628018,0.2792459651242563,0.5584919302485126,1
Parrotfish,m_nb_zi,1523.749592893676,0.07745613023435748,0.0980813588349086,0.7897130622418508,0.42969536113903406,0.7098370781770053,1
Rabbitfish,m_nb_zi,1592.5667213402298,0.19260390884521403,0.08843247857880812,2.1779770502934817,0.0294077453909887,0.14893742825903117,0.5293394170377965
