Site,n_transects,n_pairs,n_days,first_date,last_date,days_span,mean_total,median_total,sd_total
Aow Leuk,16,6,3,2025-08-04,2025-10-22,79,255.9375,243,74.31237559563458
Aow Mao,6,2,1,2025-08-13,2025-08-13,0,147.83333333333334,165,47.54962320215237
Buddha Rock S 010,8,4,2,2025-08-14,2025-08-19,5,217.375,223,116.99442904929887
Buddha Wall 010,4,2,1,2025-08-28,2025-08-28,0,197.5,194,29.274562336608895
Grapeview,2,1,1,2025-08-22,2025-08-22,0,149,149,14.142135623730951
Grapeview 003,10,5,3,2025-08-13,2025-08-22,9,118.5,124,65.23163854040972
Hin Wong Bay,16,6,2,2025-10-09,2025-10-22,13,138.3125,145.5,30.29349490127102
Hin Wong N 005,16,6,3,2025-08-12,2025-08-25,13,167.625,176.5,81.7050590028957
Japanese Garden,4,2,1,2025-10-21,2025-10-21,0,251,250,78.56207736560943
Japanese Gardens,14,4,1,2025-08-11,2025-08-11,0,183.35714285714283,190,59.21227412110943
Laem Thian S 007,6,2,1,2025-08-12,2025-08-12,0,128.33333333333334,107,40.53969248362235
Lang Kai S 008,14,6,3,2025-08-14,2025-08-25,11,208.5,225,32.229346397821494
Lighthouse,18,8,3,2025-10-02,2025-10-20,18,132.5,134,36.70911090627791
Lighthouse N 004,12,6,3,2025-08-13,2025-08-27,14,215.75,155,229.34219173342464
Mango Bay,14,6,3,2025-08-05,2025-10-21,77,247.85714285714283,218,83.54350054622134
N Sai Nuan 0012,4,2,1,2025-08-22,2025-08-22,0,39.25,37.5,45.41200281863816
N Sai Nuan 012,10,4,2,2025-08-18,2025-08-28,10,70.8,8,84.68477496640769
Nang Yuan S 001,8,2,1,2025-08-18,2025-08-18,0,134,112.5,61.944675777203464
S Nangyuan 001,8,4,2,2025-08-20,2025-08-27,7,85,77.5,42.791855032737914
Shark Island,2,1,1,2025-08-07,2025-08-07,0,531,531,38.18376618407357
Tanote,6,3,2,2025-09-30,2025-09-30,0,84.33333333333333,81.5,21.172308959267212
Tanote Bay,2,1,1,2025-08-06,2025-08-06,0,190,190,46.66904755831214
Tao Tong,16,6,3,2025-10-13,2025-10-15,2,430.6875,458,299.6766521324832
